well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row
F15,297,27,AqpZ,5.0,DMPC,3,14,1.25,85,2,0,4,0,1,14,5
P3,298,28,AqpZ,5.0,DMPC,3,8,1.25,185,2,0,4,0,1,2,15
O11,299,29,AqpZ,5.0,DOPC,3,8,1.25,185,0,0,4,0,1,10,14
K18,300,30,AqpZ,5.0,DOPC,3,14,0.0,185,1,0,4,0,1,17,10
H21,301,31,AqpZ,5.0,DOPC,3,8,0.0,185,2,0,4,0,1,20,7
E18,302,32,AqpZ,5.0,DMPC,3,14,0.0,85,1,0,4,0,1,17,4
N20,303,33,AqpZ,5.0,DOPC,3,14,0.0,85,1,0,4,0,1,19,13
K1,304,34,AqpZ,5.0,DOPC,3,8,0.0,85,1,0,4,0,1,0,10
O2,305,35,AqpZ,5.0,DMPC,3,14,0.0,135,0,0,4,0,1,1,14
O21,306,36,Cat,5.0,DOPC,3,8,0.0,85,2,0,4,0,1,20,14
P12,307,37,Cat,5.0,DMPC,3,8,0.0,85,2,0,4,0,1,11,15
F21,308,38,Cat,5.0,DOPC,3,20,0.0,185,2,0,4,0,1,20,5
I10,309,39,Cat,5.0,DMPC,3,20,0.0,185,2,0,4,0,1,9,8
L13,310,40,Cat,2.5,DMPC,3,20,0.0,185,0,0,4,0,1,12,11
I16,311,41,Cat,2.5,DOPC,3,8,0.0,85,0,0,4,0,1,15,8
B18,312,42,Cat,2.5,DMPC,3,8,0.0,85,0,0,4,0,1,17,1
M9,313,43,Cat,2.5,DOPC,3,20,0.0,185,0,0,4,0,1,8,12
E8,314,44,Cat,2.5,DMPC,3,20,0.0,185,0,0,4,0,1,7,4
A1,315,45,Blank,0.0,DOPC,3,8,0.0,85,0,0,4,0,1,0,0
M19,316,46,Blank,0.0,DMPC,3,8,0.0,85,0,0,4,0,1,18,12
A21,317,47,Blank,0.0,DOPC,3,20,0.0,185,2,0,4,0,1,20,0
O15,318,48,Blank,0.0,DMPC,3,20,0.0,185,2,0,4,0,1,14,14
G19,319,49,CD63,5.0,no_lipo,3,20,0.0,185,1,0,4,0,1,18,6
H7,320,50,CD63,5.0,no_lipo,3,8,1.25,85,1,0,4,0,1,6,7
H1,321,51,CD63,5.0,no_lipo,3,14,1.25,85,2,0,4,0,1,0,7
P20,322,52,CD63,5.0,no_lipo,3,14,0.0,185,2,0,4,0,1,19,15
M18,323,53,CD63,5.0,no_lipo,3,14,0.0,185,1,0,4,0,1,17,12
D7,324,54,CD63,5.0,no_lipo,3,14,1.25,185,1,0,4,0,1,6,3
E11,325,55,CD63,5.0,no_lipo,3,20,0.0,185,0,0,4,0,1,10,4
O4,326,56,CD63,5.0,no_lipo,3,14,0.0,135,0,0,4,0,1,3,14
I17,327,57,CD63,5.0,no_lipo,3,14,0.0,85,0,0,4,0,1,16,8
