well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,plate,row,col
K14,702.0,222,85.0,no_lipo,8.0,0.0,1.25,3,Blank,5,2,10,13
L13,704.0,224,85.0,no_lipo,14.0,1.0,0.0,3,Blank,5,2,11,12
L11,706.0,226,85.0,no_lipo,20.0,0.0,0.0,3,Blank,5,2,11,10
K2,713.0,233,185.0,no_lipo,20.0,1.0,1.25,3,Blank,5,2,10,1
G12,718.0,238,185.0,no_lipo,20.0,0.0,1.25,3,Blank,5,2,6,11
I15,719.0,239,185.0,no_lipo,20.0,2.0,0.0,3,Blank,5,2,8,14
D16,721.0,1,85.0,DOPC,8.0,1.0,1.25,3,FITM2,5,2,3,15
A21,722.0,2,85.0,DOPC,14.0,0.0,1.25,3,FITM2,5,2,0,20
D6,723.0,3,85.0,DOPC,14.0,2.0,0.0,3,FITM2,5,2,3,5
O14,725.0,5,85.0,DOPC,20.0,2.0,1.25,3,FITM2,5,2,14,13
K18,726.0,6,85.0,DMPC,8.0,0.0,1.25,3,FITM2,5,2,10,17
J24,728.0,8,85.0,DMPC,14.0,1.0,0.0,3,FITM2,5,2,9,23
F3,729.0,9,85.0,DMPC,14.0,2.0,1.25,3,FITM2,5,2,5,2
P3,731.0,11,85.0,DMPC,20.0,1.0,1.25,3,FITM2,5,2,15,2
B2,732.0,12,185.0,DOPC,8.0,0.0,1.25,3,FITM2,5,2,1,1
L22,737.0,17,185.0,DOPC,20.0,1.0,1.25,3,FITM2,5,2,11,21
J10,738.0,18,185.0,DMPC,8.0,1.0,0.0,3,FITM2,5,2,9,9
B7,739.0,19,185.0,DMPC,8.0,2.0,1.25,3,FITM2,5,2,1,6
K3,741.0,21,185.0,DMPC,14.0,1.0,1.25,3,FITM2,5,2,10,2
I2,742.0,22,185.0,DMPC,20.0,0.0,1.25,3,FITM2,5,2,8,1
E16,744.0,24,85.0,no_lipo,8.0,0.0,0.0,3,FITM2,5,2,4,15
N18,745.0,25,85.0,no_lipo,8.0,1.0,1.25,3,FITM2,5,2,13,17
N22,746.0,26,85.0,no_lipo,14.0,0.0,1.25,3,FITM2,5,2,13,21
P9,748.0,28,85.0,no_lipo,20.0,1.0,0.0,3,FITM2,5,2,15,8
G4,749.0,29,85.0,no_lipo,20.0,2.0,1.25,3,FITM2,5,2,6,3
C19,754.0,34,85.0,no_lipo,20.0,0.0,0.0,3,FITM2,5,2,2,18
J16,755.0,35,85.0,no_lipo,20.0,1.0,1.25,3,FITM2,5,2,9,15
M16,757.0,37,185.0,no_lipo,8.0,2.0,0.0,3,FITM2,5,2,12,15
M2,764.0,44,185.0,no_lipo,14.0,0.0,0.0,3,FITM2,5,2,12,1
C10,765.0,45,185.0,no_lipo,14.0,1.0,1.25,3,FITM2,5,2,2,9
G24,766.0,46,185.0,no_lipo,20.0,0.0,1.25,3,FITM2,5,2,6,23
I16,769.0,49,85.0,DOPC,8.0,1.0,1.25,3,PPTI,5,2,8,15
G16,771.0,51,85.0,DOPC,14.0,2.0,0.0,3,PPTI,5,2,6,15
I5,773.0,53,85.0,DOPC,20.0,2.0,1.25,3,PPTI,5,2,8,4
G18,774.0,54,85.0,DMPC,8.0,0.0,1.25,3,PPTI,5,2,6,17
N19,776.0,56,85.0,DMPC,14.0,1.0,0.0,3,PPTI,5,2,13,18
M8,780.0,60,185.0,DOPC,8.0,0.0,1.25,3,PPTI,5,2,12,7
B22,781.0,61,185.0,DOPC,8.0,2.0,0.0,3,PPTI,5,2,1,21
E12,786.0,66,185.0,DMPC,8.0,1.0,0.0,3,PPTI,5,2,4,11
E22,787.0,67,185.0,DMPC,8.0,2.0,1.25,3,PPTI,5,2,4,21
I13,789.0,69,185.0,DMPC,14.0,1.0,1.25,3,PPTI,5,2,8,12
D22,793.0,73,85.0,no_lipo,8.0,1.0,1.25,3,PPTI,5,2,3,21
C24,795.0,75,85.0,no_lipo,14.0,2.0,0.0,3,PPTI,5,2,2,23
J14,798.0,78,85.0,no_lipo,8.0,0.0,1.25,3,PPTI,5,2,9,13
B21,804.0,84,185.0,no_lipo,8.0,0.0,1.25,3,PPTI,5,2,1,20
I9,806.0,86,185.0,no_lipo,14.0,1.0,0.0,3,PPTI,5,2,8,8
N3,809.0,89,185.0,no_lipo,20.0,1.0,1.25,3,PPTI,5,2,13,2
M1,816.0,96,85.0,DOPC,8.0,0.0,0.0,3,AuxTI,5,2,12,0
F22,817.0,97,85.0,DOPC,8.0,1.0,1.25,3,AuxTI,5,2,5,21
N21,821.0,101,85.0,DOPC,20.0,2.0,1.25,3,AuxTI,5,2,13,20
P12,825.0,105,85.0,DMPC,14.0,2.0,1.25,3,AuxTI,5,2,15,11
O1,827.0,107,85.0,DMPC,20.0,1.0,1.25,3,AuxTI,5,2,14,0
P22,831.0,111,185.0,DOPC,14.0,2.0,1.25,3,AuxTI,5,2,15,21
P20,833.0,113,185.0,DOPC,20.0,1.0,1.25,3,AuxTI,5,2,15,19
O24,835.0,115,185.0,DMPC,8.0,2.0,1.25,3,AuxTI,5,2,14,23
